experiment,condition,model,learning_space_size,subject,phase,trial_index,exposure,word,selection,accuracy,previous_correct
trueswell,exp1,pursuit,NA,298,learning,57,5,quab,eye,1,1.0
trueswell,exp1,pursuit,NA,298,learning,58,5,wode,hand,0,0.0
trueswell,exp1,pursuit,NA,298,learning,59,5,glemp,car,0,0.0
trueswell,exp1,pursuit,NA,298,learning,60,5,jix,cat,1,1.0
trueswell,exp1,pursuit,NA,297,learning,1,1,heek,dog,0,
trueswell,exp1,pursuit,NA,297,learning,2,1,smick,ball,1,
trueswell,exp1,pursuit,NA,297,learning,3,1,skoog,door,0,
trueswell,exp1,pursuit,NA,297,learning,4,1,toop,car,1,
trueswell,exp1,pursuit,NA,297,learning,5,1,irp,hand,1,
trueswell,exp1,pursuit,NA,297,learning,6,1,yate,bird,0,
trueswell,exp1,pursuit,NA,297,learning,7,1,moke,fish,1,
trueswell,exp1,pursuit,NA,297,learning,8,1,zud,book,0,
trueswell,exp1,pursuit,NA,297,learning,9,1,quab,eye,1,
trueswell,exp1,pursuit,NA,297,learning,10,1,wode,bear,0,
trueswell,exp1,pursuit,NA,297,learning,11,1,glemp,fish,0,
trueswell,exp1,pursuit,NA,297,learning,12,1,jix,cat,1,
trueswell,exp1,pursuit,NA,297,learning,13,2,heek,cat,0,0.0
trueswell,exp1,pursuit,NA,297,learning,14,2,smick,ball,1,1.0
trueswell,exp1,pursuit,NA,297,learning,15,2,skoog,eye,0,0.0
trueswell,exp1,pursuit,NA,297,learning,16,2,toop,car,1,1.0
trueswell,exp1,pursuit,NA,297,learning,17,2,irp,hand,1,1.0
trueswell,exp1,pursuit,NA,297,learning,18,2,yate,fish,0,0.0
trueswell,exp1,pursuit,NA,297,learning,19,2,moke,fish,1,1.0
trueswell,exp1,pursuit,NA,297,learning,20,2,zud,bear,1,0.0
trueswell,exp1,pursuit,NA,297,learning,21,2,quab,eye,1,1.0
trueswell,exp1,pursuit,NA,297,learning,22,2,wode,bear,0,0.0
trueswell,exp1,pursuit,NA,297,learning,23,2,glemp,bird,1,0.0
trueswell,exp1,pursuit,NA,297,learning,24,2,jix,cat,1,1.0
trueswell,exp1,pursuit,NA,297,learning,25,3,heek,cat,0,0.0
trueswell,exp1,pursuit,NA,297,learning,26,3,smick,ball,1,1.0
trueswell,exp1,pursuit,NA,297,learning,27,3,skoog,eye,0,0.0
trueswell,exp1,pursuit,NA,297,learning,28,3,toop,car,1,1.0
trueswell,exp1,pursuit,NA,297,learning,29,3,irp,hand,1,1.0
trueswell,exp1,pursuit,NA,297,learning,30,3,yate,fish,0,0.0
trueswell,exp1,pursuit,NA,297,learning,31,3,moke,fish,1,1.0
trueswell,exp1,pursuit,NA,297,learning,32,3,zud,bear,1,1.0
trueswell,exp1,pursuit,NA,297,learning,33,3,quab,eye,1,1.0
trueswell,exp1,pursuit,NA,297,learning,34,3,wode,eye,0,0.0
trueswell,exp1,pursuit,NA,297,learning,35,3,glemp,bird,1,1.0
trueswell,exp1,pursuit,NA,297,learning,36,3,jix,cat,1,1.0
trueswell,exp1,pursuit,NA,297,learning,37,4,heek,hand,0,0.0
trueswell,exp1,pursuit,NA,297,learning,38,4,smick,ball,1,1.0
trueswell,exp1,pursuit,NA,297,learning,39,4,skoog,dog,1,0.0
trueswell,exp1,pursuit,NA,297,learning,40,4,toop,car,1,1.0
trueswell,exp1,pursuit,NA,297,learning,41,4,irp,hand,1,1.0
trueswell,exp1,pursuit,NA,297,learning,42,4,yate,dog,0,0.0
trueswell,exp1,pursuit,NA,297,learning,43,4,moke,fish,1,1.0
trueswell,exp1,pursuit,NA,297,learning,44,4,zud,bear,1,1.0
trueswell,exp1,pursuit,NA,297,learning,45,4,quab,eye,1,1.0
trueswell,exp1,pursuit,NA,297,learning,46,4,wode,door,1,0.0
trueswell,exp1,pursuit,NA,297,learning,47,4,glemp,bird,1,1.0
trueswell,exp1,pursuit,NA,297,learning,48,4,jix,cat,1,1.0
trueswell,exp1,pursuit,NA,297,learning,49,5,heek,eye,0,0.0
trueswell,exp1,pursuit,NA,297,learning,50,5,smick,ball,1,1.0
trueswell,exp1,pursuit,NA,297,learning,51,5,skoog,dog,1,1.0
trueswell,exp1,pursuit,NA,297,learning,52,5,toop,car,1,1.0
trueswell,exp1,pursuit,NA,297,learning,53,5,irp,hand,1,1.0
trueswell,exp1,pursuit,NA,297,learning,54,5,yate,bear,0,0.0
trueswell,exp1,pursuit,NA,297,learning,55,5,moke,fish,1,1.0
trueswell,exp1,pursuit,NA,297,learning,56,5,zud,bear,1,1.0
trueswell,exp1,pursuit,NA,297,learning,57,5,quab,eye,1,1.0
trueswell,exp1,pursuit,NA,297,learning,58,5,wode,eye,0,1.0
trueswell,exp1,pursuit,NA,297,learning,59,5,glemp,bird,1,1.0
trueswell,exp1,pursuit,NA,297,learning,60,5,jix,cat,1,1.0
trueswell,exp1,pursuit,NA,296,learning,1,1,heek,hand,0,
trueswell,exp1,pursuit,NA,296,learning,2,1,smick,dog,0,
trueswell,exp1,pursuit,NA,296,learning,3,1,skoog,bear,0,
trueswell,exp1,pursuit,NA,296,learning,4,1,toop,car,1,
trueswell,exp1,pursuit,NA,296,learning,5,1,irp,shoe,0,
trueswell,exp1,pursuit,NA,296,learning,6,1,yate,bird,0,
trueswell,exp1,pursuit,NA,296,learning,7,1,moke,door,0,
trueswell,exp1,pursuit,NA,296,learning,8,1,zud,ball,0,
trueswell,exp1,pursuit,NA,296,learning,9,1,quab,eye,1,
trueswell,exp1,pursuit,NA,296,learning,10,1,wode,dog,0,
trueswell,exp1,pursuit,NA,296,learning,11,1,glemp,fish,0,
